,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-26 02:32:45,32.3182,-86.9023,6026,209,,5817.0,1.0,128.51636536268552,71344.0,839.0,3.4683040159309657,84000001,USA,1521.5518703012672,13.92300033189512
1,Alaska,US,2020-04-26 02:32:45,61.3707,-152.4044,339,9,217.0,330.0,2.0,56.71276739902535,15732.0,32.0,2.6548672566371683,84000002,USA,2631.873913632645,9.43952802359882
2,American Samoa,US,2020-04-26 02:32:45,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-26 02:32:45,33.7298,-111.4312,6286,273,1345.0,6013.0,4.0,86.36137385201265,62508.0,1022.0,4.342984409799555,84000004,USA,858.7777214033737,16.258351893095767
4,Arkansas,US,2020-04-26 02:32:45,34.9697,-92.3731,2911,48,964.0,2863.0,5.0,112.43606188734225,38053.0,291.0,1.6489178976296806,84000005,USA,1469.7799598072945,9.996564754379936
5,California,US,2020-04-26 02:32:45,36.1162,-119.6816,42368,1689,,40679.0,6.0,108.05787094776608,506035.0,4847.0,3.986499244712991,84000006,USA,1290.6218071434294,11.440237915407856
6,Colorado,US,2020-04-26 02:32:45,39.0598,-105.3111,12968,684,2086.0,12284.0,8.0,228.84114933737888,56789.0,2366.0,5.27452190006169,84000008,USA,1002.132944919834,18.2449105490438
7,Connecticut,US,2020-04-26 02:32:45,41.5978,-72.7554,24583,1865,,22718.0,9.0,689.5097084750821,77602.0,1810.0,7.58654354635317,84000009,USA,2176.598966647005,7.362811699141682
8,Delaware,US,2020-04-26 02:32:45,39.3185,-75.5071,3576,112,809.0,3464.0,10.0,367.234771464133,17698.0,300.0,3.131991051454139,84000010,USA,1817.4834970280276,8.389261744966444
9,Diamond Princess,US,2020-04-26 02:32:45,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-26 02:32:45,38.8974,-77.0268,3699,165,652.0,3534.0,11.0,524.1240157619777,17302.0,402.0,4.4606650446066505,84000011,USA,2451.579810952619,10.867802108678019
11,Florida,US,2020-04-26 02:32:45,27.7663,-81.6868,30839,1055,,29784.0,12.0,145.24359374445137,333099.0,5045.0,3.4209928986024187,84000012,USA,1568.8088405163267,16.359155614643797
12,Georgia,US,2020-04-26 02:32:45,33.0406,-83.6431,23222,907,,22315.0,13.0,229.02751673596242,119014.0,4326.0,3.9057790026698815,84000013,USA,1173.778351425968,18.6288864008268
13,Grand Princess,US,2020-04-26 02:32:45,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
14,Guam,US,2020-04-26 02:32:45,13.4443,144.7937,141,5,128.0,136.0,66.0,85.85572584622692,1449.0,2.0,3.5460992907801416,316,GUM,882.3045868878212,1.4184397163120568
15,Hawaii,US,2020-04-26 02:32:45,21.0943,-157.4983,605,13,463.0,592.0,15.0,42.73244685284358,28040.0,67.0,2.1487603305785123,84000015,USA,1980.5253053780727,11.074380165289256
16,Idaho,US,2020-04-26 02:32:45,44.2405,-114.4788,1887,56,867.0,1831.0,16.0,117.16879944514022,19361.0,168.0,2.9676735559088496,84000016,USA,1202.1754775078748,8.903020667726551
17,Illinois,US,2020-04-26 02:32:45,40.3495,-88.9861,41777,1875,,39902.0,17.0,355.98359971958945,201617.0,4699.0,4.488115470234819,84000017,USA,1717.9870604558605,11.247815783804484
18,Indiana,US,2020-04-26 02:32:45,39.8494,-86.2583,14399,786,,13613.0,18.0,220.03382032440743,79774.0,1515.0,5.458712410584068,84000018,USA,1219.041460001339,10.521563997499829
19,Iowa,US,2020-04-26 02:32:45,42.0115,-93.2105,5092,112,1723.0,4980.0,19.0,194.2982692114703,34350.0,293.0,2.199528672427337,84000019,USA,1310.7120085259241,5.7541241162608
20,Kansas,US,2020-04-26 02:32:45,38.5266,-96.7265,3135,120,,3015.0,20.0,128.56327363513785,25199.0,474.0,3.827751196172249,84000020,USA,1033.3862623068064,15.119617224880386
21,Kentucky,US,2020-04-26 02:32:45,37.6681,-84.6701,3915,205,1341.0,3710.0,21.0,114.36323340352871,44962.0,1143.0,5.236270753512133,84000021,USA,1313.4098851314068,29.19540229885057
22,Louisiana,US,2020-04-26 02:32:45,31.1695,-91.8678,26512,1707,14927.0,24805.0,22.0,576.6905808800274,139002.0,1700.0,6.438593844296923,84000022,USA,3023.579666697555,6.412190706095352
