,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-20 23:36:47,32.3182,-86.9023,5079,163,,4916.0,1.0,108.3197178355592,45900.0,641.0,3.2092931679464463,84000001,USA,978.908259234528,12.620594605237253
1,Alaska,US,2020-04-20 23:36:47,61.3707,-152.4044,321,9,161.0,312.0,2.0,53.701470015006294,10124.0,46.0,2.803738317757009,84000002,USA,1693.6874842116006,14.330218068535824
2,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-20 23:36:47,33.7298,-111.4312,5068,191,1155.0,4877.0,4.0,69.62765553324851,54500.0,637.0,3.768745067087608,84000004,USA,748.7583319972463,12.569060773480663
4,Arkansas,US,2020-04-20 23:36:47,34.9697,-92.3731,1973,41,749.0,1932.0,5.0,76.20623500643292,26553.0,291.0,2.078053725291434,84000005,USA,1025.5976473014766,14.749113025848963
5,California,US,2020-04-20 23:36:47,36.1162,-119.6816,33686,1225,,32461.0,6.0,85.91478098438557,290500.0,4674.0,3.6365255595796473,84000006,USA,740.9085043033904,13.875200379979816
6,Colorado,US,2020-04-20 23:36:47,39.0598,-105.3111,9730,420,,9310.0,8.0,171.70144841553798,46195.0,1813.0,4.316546762589929,84000008,USA,815.1848314034713,18.633093525179856
7,Connecticut,US,2020-04-20 23:36:47,41.5978,-72.7554,19815,1331,,18484.0,9.0,555.7757341835313,62806.0,1919.0,6.717133484733787,84000009,USA,1761.5973132036775,9.684582387080496
8,Delaware,US,2020-04-20 23:36:47,39.3185,-75.5071,2745,72,495.0,2673.0,10.0,281.8958186993974,16470.0,256.0,2.622950819672131,84000010,USA,1691.3749121963842,9.326047358834243
9,Diamond Princess,US,2020-04-20 23:36:47,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-20 23:36:47,38.8974,-77.0268,2927,105,630.0,2822.0,11.0,414.73668400522,14113.0,402.0,3.58729074137342,84000011,USA,1999.7194469988626,13.734198838401095
11,Florida,US,2020-04-20 23:36:47,27.7663,-81.6868,27059,822,,26237.0,12.0,127.44078611923568,266225.0,4010.0,3.0378062751764663,84000012,USA,1253.8498571489529,14.819468568683247
12,Georgia,US,2020-04-20 23:36:47,33.0406,-83.6431,19407,775,,18632.0,13.0,191.40199023748264,84328.0,3550.0,3.993404441696295,84000013,USA,831.6868672513237,18.292368732931415
13,Grand Princess,US,2020-04-20 23:36:47,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-20 23:36:47,13.4443,144.7937,136,5,112.0,131.0,66.0,82.81119656089972,1124.0,3.0,3.6764705882352944,316,GUM,684.4101833415535,2.2058823529411766
15,Hawaii,US,2020-04-20 23:36:47,21.0943,-157.4983,584,10,414.0,574.0,15.0,41.24917183811678,24175.0,52.0,1.7123287671232876,84000015,USA,1707.5320705247827,8.904109589041097
16,Idaho,US,2020-04-20 23:36:47,44.2405,-114.4788,1672,45,585.0,1627.0,16.0,103.81888323914914,17445.0,151.0,2.691387559808613,84000016,USA,1083.2059916907638,9.0311004784689
17,Illinois,US,2020-04-20 23:36:47,40.3495,-88.9861,31513,1349,,30164.0,17.0,268.52361773136954,148358.0,4599.0,4.280773014311554,84000017,USA,1264.1648487732214,14.593977088820488
18,Indiana,US,2020-04-20 23:36:47,39.8494,-86.2583,11688,577,,11111.0,18.0,178.60652072725006,64639.0,,4.9366872005475715,84000018,USA,987.7606855996506,
19,Iowa,US,2020-04-20 23:36:47,42.0115,-93.2105,3159,79,1235.0,3080.0,19.0,120.539715718585,25820.0,214.0,2.5007913896802787,84000019,USA,985.2280657973613,6.774295663184552
20,Kansas,US,2020-04-20 23:36:47,38.5266,-96.7265,2048,102,,1946.0,20.0,83.98647030454939,18761.0,405.0,4.98046875,84000020,USA,769.3701998943608,19.775390625
21,Kentucky,US,2020-04-20 23:36:47,37.6681,-84.6701,3050,154,1174.0,2896.0,21.0,89.09523930543104,32572.0,1059.0,5.049180327868854,84000021,USA,951.4787326742622,34.721311475409834
22,Louisiana,US,2020-04-20 23:36:47,31.1695,-91.8678,24523,1328,,23195.0,22.0,533.4257360787911,142099.0,1794.0,5.4153243893487755,84000022,USA,3090.9457925645365,7.315581291032907
23,Maine,US,2020-04-20 23:36:47,44.6939,-69.3819,875,35,414.0,840.0,23.0,74.53113527528821,14951.0,138.0,4.0,84000023,USA,1273.5028611438104,15.771428571428574
24,Maryland,US,2020-04-20 23:44:33,39.0639,-76.8021,13684,582,917.0,13102.0,24.0,230.2411020075429,71397.0,3014.0,4.253142356036247,84000024,USA,1201.2952323905686,22.02572347266881
25,Massachusetts,US,2020-04-20 23:36:47,42.2302,-71.5301,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
26,Michigan,US,2020-04-20 23:36:47,43.3266,-84.5361,32000,2468,3237.0,29532.0,26.0,401.64377736433573,113798.0,3374.0,7.7125,84000026,USA,1428.3205805158334,10.54375
27,Minnesota,US,2020-04-20 23:36:47,45.6945,-93.9002,2470,143,1202.0,2327.0,27.0,49.93484210683792,46850.0,602.0,5.789473684210527,84000027,USA,947.1446772086464,24.37246963562753
28,Mississippi,US,2020-04-20 23:36:47,32.7416,-89.6787,4512,169,,4343.0,28.0,155.84383287406837,51434.0,819.0,3.745567375886525,84000028,USA,1776.5229831659647,18.15159574468085
29,Missouri,US,2020-04-20 23:36:47,38.4561,-92.2884,5890,200,,5690.0,29.0,100.52127706053257,56013.0,873.0,3.3955857385398978,84000029,USA,955.9419850579984,14.821731748726654
30,Montana,US,2020-04-20 23:36:47,46.9219,-110.4544,433,10,243.0,423.0,30.0,50.0007505886347,11051.0,57.0,2.3094688221709005,84000030,USA,1276.116154168596,13.163972286374134
