,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-28 02:32:46,32.3182,-86.9023,6539,228,,6311.0,1.0,139.45710473060086,73997.0,872.0,3.4867716776265483,84000001,USA,1578.1323411454764,13.335372381098027
1,Alaska,US,2020-04-28 02:32:46,61.3707,-152.4044,345,9,218.0,336.0,2.0,57.71653319369836,16256.0,10.0,2.608695652173913,84000002,USA,2719.5361263674217,2.898550724637681
2,American Samoa,US,2020-04-28 02:32:46,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-28 02:32:46,33.7298,-111.4312,6725,275,1418.0,6450.0,4.0,92.39265656296296,66543.0,1051.0,4.089219330855019,84000004,USA,914.2133153411514,15.628252788104088
4,Arkansas,US,2020-04-28 02:32:46,34.9697,-92.3731,3069,51,987.0,3018.0,5.0,118.53874061568304,40457.0,109.0,1.66177908113392,84000005,USA,1562.6333753954668,3.551645487129358
5,California,US,2020-04-28 02:32:46,36.1162,-119.6816,44966,1779,,43187.0,6.0,114.68396490363598,553409.0,4878.0,3.956322554819197,84000006,USA,1411.4472786851466,10.848196415069165
6,Colorado,US,2020-04-28 02:32:46,39.0598,-105.3111,13879,706,2150.0,13173.0,8.0,244.9172047851235,63274.0,2438.0,5.086821817133798,84000008,USA,1116.5711661916496,17.566107068232586
7,Connecticut,US,2020-04-28 02:32:46,41.5978,-72.7554,25997,2012,,23985.0,9.0,729.1699097435915,79811.0,1758.0,7.7393545409085664,84000009,USA,2238.557513041727,6.762318729084124
8,Delaware,US,2020-04-28 02:32:46,39.3185,-75.5071,4162,125,996.0,4037.0,10.0,427.4136238349332,19616.0,325.0,3.00336376741951,84000010,USA,2014.4511401119776,7.808745795290727
9,Diamond Princess,US,2020-04-28 02:32:46,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-28 02:32:46,38.8974,-77.0268,3892,185,659.0,3707.0,11.0,551.4708487011671,18416.0,402.0,4.753340184994862,84000011,USA,2609.4262974513604,10.328879753340184
