,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-16 23:30:51,32.3182,-86.9023,4345,133,,4212.0,1.0,92.66571647873691,36391.0,553.0,3.0609896432681243,84000001,USA,776.1100318475752,12.727272727272727
1,Alaska,US,2020-04-16 23:30:51,61.3707,-152.4044,300,9,110.0,291.0,2.0,50.18828973365075,8735.0,35.0,3.0,84000002,USA,1461.3157027447974,11.666666666666664
2,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-16 23:30:51,33.7298,-111.4312,4237,150,460.0,4087.0,4.0,58.21080830591436,47398.0,578.0,3.5402407363700727,84000004,USA,651.186191192761,13.641727637479349
4,Arkansas,US,2020-04-16 23:30:51,34.9697,-92.3731,1620,37,548.0,1583.0,5.0,62.57176923994999,22675.0,85.0,2.2839506172839505,84000005,USA,875.811646614732,5.246913580246914
5,California,US,2020-04-16 23:30:51,36.1162,-119.6816,27677,956,,26721.0,6.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,84000006,USA,628.4332373850444,18.177548144668854
6,Colorado,US,2020-04-16 23:30:51,39.0598,-105.3111,8286,355,,7931.0,8.0,146.21975350165957,40533.0,1636.0,4.284335022930244,84000008,USA,715.2697645043165,19.744146753560226
7,Connecticut,US,2020-04-16 23:30:51,41.5978,-72.7554,15884,971,,14913.0,9.0,445.5181307984463,53122.0,1926.0,6.113069755729035,84000009,USA,1489.9782261568287,12.12540921682196
8,Delaware,US,2020-04-16 23:30:51,39.3185,-75.5071,2070,55,378.0,2015.0,10.0,212.5771747569226,13350.0,209.0,2.6570048309178738,84000010,USA,1370.9687357511675,10.096618357487925
9,Diamond Princess,US,2020-04-16 23:30:51,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-16 23:30:51,38.8974,-77.0268,2350,81,552.0,2269.0,11.0,332.97957205748787,12150.0,313.0,3.4468085106382977,84000011,USA,1721.5752342546716,13.319148936170215
11,Florida,US,2020-04-16 23:30:51,27.7663,-81.6868,23343,668,,22675.0,12.0,109.93940169190724,219248.0,3460.0,2.8616715931971037,84000012,USA,1032.6005201622447,14.82243070727841
12,Georgia,US,2020-04-16 23:30:51,33.0406,-83.6431,15669,587,,15082.0,13.0,154.53587803530252,67939.0,3108.0,3.7462505584274686,84000013,USA,670.0499724194535,19.835343672219032
13,Grand Princess,US,2020-04-16 23:30:51,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-16 23:30:51,13.4443,144.7937,135,5,86.0,130.0,66.0,82.20229070383428,1005.0,9.0,3.703703703703704,316,GUM,611.9503863507662,6.666666666666668
15,Hawaii,US,2020-04-16 23:30:51,21.0943,-157.4983,530,9,359.0,521.0,15.0,37.435036085962146,20700.0,45.0,1.69811320754717,84000015,USA,1462.0853716592762,8.49056603773585
16,Idaho,US,2020-04-16 23:30:51,44.2405,-114.4788,1587,41,,1546.0,16.0,98.54100939026895,15831.0,143.0,2.58349086326402,84000016,USA,982.9884811955563,9.010712035286703
17,Illinois,US,2020-04-16 23:30:51,40.3495,-88.9861,25734,1072,,24662.0,17.0,219.28051212829826,122589.0,4423.0,4.165695189243801,84000017,USA,1044.5861001513933,17.187378565322142
18,Indiana,US,2020-04-16 23:30:51,39.8494,-86.2583,9542,477,,9065.0,18.0,145.81309212691818,51115.0,,4.9989520016767965,84000018,USA,781.097904429619,
19,Iowa,US,2020-04-16 23:30:51,42.0115,-93.2105,2141,60,987.0,2081.0,19.0,81.69532489822427,20675.0,175.0,2.8024287716020555,84000019,USA,788.9074461797228,8.173750583839327
20,Kansas,US,2020-04-16 23:30:51,38.5266,-96.7265,1615,80,,1535.0,20.0,66.2295652059801,16122.0,359.0,4.953560371517028,84000020,USA,661.147399536106,22.229102167182663
21,Kentucky,US,2020-04-16 23:30:51,37.6681,-84.6701,2435,129,862.0,2306.0,21.0,71.13013367499167,28324.0,807.0,5.297741273100616,84000021,USA,827.3880518318127,33.14168377823409
22,Louisiana,US,2020-04-16 23:30:51,31.1695,-91.8678,22532,1156,,21376.0,22.0,490.1173871601078,126586.0,1914.0,5.130481093555832,84000022,USA,2753.506105585363,8.494585478430677
23,Maine,US,2020-04-16 23:30:51,44.6939,-69.3819,796,27,333.0,769.0,23.0,67.8020384904336,14872.0,130.0,3.391959798994975,84000023,USA,1266.7737643589555,16.331658291457288
24,Maryland,US,2020-04-16 23:30:51,39.0639,-76.8021,10784,319,736.0,10465.0,24.0,181.44694855666046,58843.0,2451.0,2.958086053412463,84000024,USA,990.0670246587144,22.72811572700297
25,Massachusetts,US,2020-04-16 23:30:51,42.2302,-71.5301,32181,1108,,31073.0,25.0,468.8529863754216,140773.0,3454.0,3.4430253876510983,84000025,USA,2050.9568208267992,10.733041235511637
26,Michigan,US,2020-04-16 23:30:51,43.3266,-84.5361,28809,1996,617.0,26813.0,26.0,361.5923619402858,94286.0,3809.0,6.928390433545072,84000026,USA,1183.4182872679296,13.221562706098787
27,Minnesota,US,2020-04-16 23:30:51,45.6945,-93.9002,1809,87,1020.0,1722.0,27.0,36.571712296060646,41675.0,475.0,4.8092868988391375,84000027,USA,842.5241072074779,26.25760088446655
28,Mississippi,US,2020-04-16 23:30:51,32.7416,-89.6787,3624,129,,3495.0,28.0,125.17244023395918,38415.0,682.0,3.5596026490066226,84000028,USA,1326.8485903939136,18.818984547461373
29,Missouri,US,2020-04-16 23:30:51,38.4561,-92.2884,5174,169,,5005.0,29.0,88.30171265045765,50648.0,1043.0,3.266331658291457,84000029,USA,864.3805841361383,20.158484731349045
30,Montana,US,2020-04-16 23:30:51,46.9219,-110.4544,415,7,218.0,408.0,30.0,47.922197446381986,9936.0,52.0,1.686746987951807,84000030,USA,1147.3613345234974,12.530120481927712
31,Nebraska,US,2020-04-16 23:30:51,41.1254,-98.2681,952,21,,931.0,31.0,62.41509711054815,12294.0,,2.2058823529411766,84000031,USA,806.0201721397888,
