,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-12 23:18:15,32.3182,-86.9023,3563,93,,3470,1.0,75.98802021,21583.0,437.0,2.610159978,84000001,USA,460.3001516,12.26494527
1,Alaska,US,2020-04-12 23:18:15,61.3707,-152.4044,272,8,66.0,264,2.0,45.50404936,8038.0,31.0,2.9411764710000003,84000002,USA,1344.711576,11.39705882
2,Arizona,US,2020-04-12 23:18:15,33.7298,-111.4312,3542,115,,3427,4.0,48.66242224,42109.0,,3.246753247,84000004,USA,578.5222863,
3,Arkansas,US,2020-04-12 23:18:15,34.9697,-92.3731,1280,27,367.0,1253,5.0,49.43942261,19722.0,130.0,2.109375,84000005,USA,761.7533537,10.15625
4,California,US,2020-04-12 23:18:15,36.1162,-119.6816,22795,640,,22155,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006,USA,485.42386849999997,22.9611757
5,Colorado,US,2020-04-12 23:18:15,39.0598,-105.3111,7307,289,,7018,8.0,128.943729,34873.0,1376.0,3.955111537,84000008,USA,615.3899908,18.8312577
6,Connecticut,US,2020-04-12 23:18:15,41.5978,-72.7554,12035,554,,11481,9.0,337.56048250000003,41220.0,1654.0,4.6032405480000005,84000009,USA,1156.148159,13.74324886
7,Delaware,US,2020-04-12 23:18:15,39.3185,-75.5071,1625,35,191.0,1590,10.0,166.8782169,11103.0,190.0,2.153846154,84000010,USA,1140.214672,11.69230769
8,Diamond Princess,US,2020-04-12 23:18:15,,,49,0,0.0,49,888.0,,,,0.0,84088888,USA,,
9,District of Columbia,US,2020-04-12 23:18:15,38.8974,-77.0268,1875,50,493.0,1825,11.0,265.6751905,10640.0,,2.666666667,84000011,USA,1507.618148,
10,Florida,US,2020-04-12 23:18:15,27.7663,-81.6868,19895,461,,19434,12.0,93.70022691,182753.0,2772.0,2.317165117,84000012,USA,860.7186513,13.93314903
11,Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,12019,13.0,122.80814050000001,54453.0,2505.0,3.4773530360000002,84000013,USA,537.0439828,20.11725024
12,Grand Princess,US,2020-04-12 23:18:15,,,103,0,0.0,103,999.0,,,,0.0,84099999,USA,,
13,Guam,US,2020-04-12 23:18:15,13.4443,144.7937,133,5,58.0,128,66.0,80.98447899,826.0,13.0,3.759398496,316,GUM,502.95623789999996,9.77443609
14,Hawaii,US,2020-04-12 23:18:15,21.0943,-157.4983,499,9,300.0,490,15.0,35.24543964,17968.0,44.0,1.8036072140000001,84000015,USA,1269.118355,8.817635271
15,Idaho,US,2020-04-12 23:18:15,44.2405,-114.4788,1407,27,,1380,16.0,87.36433536,14308.0,131.0,1.918976546,84000016,USA,888.4214004,9.310589907999999
16,Illinois,US,2020-04-12 23:18:15,40.3495,-88.9861,20852,720,,20132,17.0,177.68078180000003,100735.0,3680.0,3.4529061960000003,84000017,USA,858.3672336000001,17.64818722
17,Indiana,US,2020-04-12 23:18:15,39.8494,-86.2583,7928,343,,7585,18.0,121.14925530000001,42489.0,,4.326437941,84000018,USA,649.2823801,
18,Iowa,US,2020-04-12 23:18:15,42.0115,-93.2105,1587,41,674.0,1546,19.0,60.55603952,17592.0,129.0,2.583490863,84000019,USA,671.2677046,8.128544423
19,Kansas,US,2020-04-12 23:18:15,38.5266,-96.7265,1344,56,,1288,20.0,55.11612114,13253.0,298.0,4.166666667,84000020,USA,543.4925249,22.17261905
20,Kentucky,US,2020-04-12 23:18:15,37.6681,-84.6701,1963,97,464.0,1866,21.0,57.34228025,24567.0,459.0,4.941416200000001,84000021,USA,717.6402439,23.38257769
21,Louisiana,US,2020-04-12 23:18:15,31.1695,-91.8678,20595,840,,19755,22.0,447.9836494,104045.0,2084.0,4.078659869,84000022,USA,2263.19295,10.11896091
22,Maine,US,2020-04-12 23:18:15,44.6939,-69.3819,633,19,266.0,614,23.0,53.91795272,6721.0,120.0,3.0015797789999996,84000023,USA,572.4842974,18.95734597
23,Maryland,US,2020-04-12 23:18:15,39.0639,-76.8021,8225,236,456.0,7989,24.0,138.3903145,49764.0,1860.0,2.869300912,84000024,USA,837.3076732000001,22.61398176
24,Massachusetts,US,2020-04-12 23:18:15,42.2302,-71.5301,25475,756,,24719,25.0,371.1516059,116730.0,2235.0,2.9676153089999997,84000025,USA,1700.668379,8.773307164
25,Michigan,US,2020-04-12 23:18:15,43.3266,-84.5361,24244,1479,433.0,22765,26.0,304.2953668,79437.0,3636.0,6.100478469,84000026,USA,997.0430232000001,14.99752516
26,Minnesota,US,2020-04-12 23:18:15,45.6945,-93.9002,1621,70,842.0,1551,27.0,32.77100367,37421.0,361.0,4.318322023,84000027,USA,756.5229662,22.27020358
27,Mississippi,US,2020-04-12 23:18:15,32.7416,-89.6787,2781,96,,2685,28.0,96.05534114,21413.0,548.0,3.451995685,84000028,USA,739.6019489,19.70514204
28,Missouri,US,2020-04-12 23:18:15,38.4561,-92.2884,4269,118,,4151,29.0,72.85659283,45200.0,988.0,2.764113375,84000029,USA,771.4026695,23.14359335
29,Montana,US,2020-04-12 23:18:15,46.9219,-110.4544,387,6,169.0,381,30.0,44.68889256,8913.0,47.0,1.5503875969999998,84000030,USA,1029.230231,12.14470284
30,Nebraska,US,2020-04-12 23:18:15,41.1254,-98.2681,791,17,,774,31.0,51.85960275,10691.0,,2.149178255,84000031,USA,700.924163,
31,Nevada,US,2020-04-12 23:18:15,38.3135,-117.0554,2836,112,,2724,32.0,94.01010443,24611.0,282.0,3.94922426,84000032,USA,815.8260508,9.943582511
32,New Hampshire,US,2020-04-12 23:18:15,43.4525,-71.5639,929,23,236.0,906,33.0,69.94702398,10925.0,146.0,2.475780409,84000033,USA,822.5739902,15.71582347
33,New Jersey,US,2020-04-12 23:18:15,40.2989,-74.521,61850,2350,,59500,34.0,696.3372772000001,126735.0,7604.0,3.7995149560000003,84000034,USA,1426.844055,12.29426031
34,New Mexico,US,2020-04-12 23:18:15,34.8405,-106.2485,1245,26,235.0,1219,35.0,74.66119111,28692.0,78.0,2.088353414,84000035,USA,1720.6256190000001,6.2650602410000005
35,New York,US,2020-04-12 23:18:15,42.1657,-74.9481,189033,9385,23887.0,179648,36.0,1121.124012,461601.0,42594.0,4.9647416060000005,84000036,USA,2737.680538,22.53257368
36,North Carolina,US,2020-04-12 23:18:15,35.6301,-79.8064,4570,89,,4481,37.0,46.07841902,62139.0,331.0,1.947483589,84000037,USA,626.5354222,7.242888402999999
37,North Dakota,US,2020-04-12 23:18:15,47.5289,-99.78399999999999,308,7,121.0,301,38.0,50.79004911,10350.0,39.0,2.272727273,84000038,USA,1706.7435329999998,12.66233766
38,Ohio,US,2020-04-12 23:18:15,40.3888,-82.7649,6604,253,,6351,39.0,59.10222609,63243.0,1948.0,3.831011508,84000039,USA,565.9906245,29.49727438
39,Oklahoma,US,2020-04-12 23:18:15,35.5653,-96.9289,1970,96,865.0,1874,40.0,53.85995428,22760.0,446.0,4.873096447,84000040,USA,622.2601824,22.63959391
40,Oregon,US,2020-04-12 23:18:15,44.571999999999996,-122.0709,1527,52,,1475,41.0,38.107606700000005,29758.0,359.0,3.4053700069999997,84000041,USA,742.6366471,23.51015062
41,Pennsylvania,US,2020-04-12 23:18:15,40.5908,-77.2098,22938,557,,22381,42.0,182.2284446,124890.0,2097.0,2.428284942,84000042,USA,992.175013,9.142035051
42,Puerto Rico,US,2020-04-12 23:18:15,18.2208,-66.5901,897,44,,853,72.0,30.57876709,6716.0,,4.905239688,630,PRI,228.94871769999997,
43,Rhode Island,US,2020-04-12 23:18:15,41.6809,-71.5118,2665,63,35.0,2602,44.0,251.56674640000003,20350.0,201.0,2.363977486,84000044,USA,1920.969339,7.542213884
44,South Carolina,US,2020-04-12 23:18:15,33.8569,-80.945,3320,82,,3238,45.0,65.87334263,31425.0,496.0,2.469879518,84000045,USA,623.5149976,14.93975904
45,South Dakota,US,2020-04-12 23:18:15,44.2998,-99.4388,730,6,197.0,724,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046,USA,1162.262941,5.890410959
46,Tennessee,US,2020-04-12 23:18:15,35.7478,-86.6923,5508,106,1504.0,5402,47.0,83.90037425,70677.0,567.0,1.924473493,84000047,USA,1076.584377,10.29411765
47,Texas,US,2020-04-12 23:18:15,31.0545,-97.5635,13677,283,2014.0,13394,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048,USA,541.8115230000001,9.782847116000001
48,Utah,US,2020-04-12 23:18:15,40.15,-111.8624,2303,18,,2285,49.0,80.3592053,44234.0,195.0,0.781589231,84000049,USA,1543.468991,8.467216674
49,Vermont,US,2020-04-12 23:18:15,44.0459,-72.7107,727,27,15.0,700,50.0,119.06497150000001,9841.0,34.0,3.71389271,84000050,USA,1611.7171720000001,4.6767537830000006
50,Virginia,US,2020-04-12 23:18:15,37.7693,-78.17,5274,141,,5133,51.0,66.69845192,39985.0,751.0,2.673492605,84000051,USA,505.6764505,14.23966629
51,Washington,US,2020-04-12 23:18:15,47.4009,-121.4905,10609,506,,10103,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053,USA,1240.031828,6.051465737000001
52,West Virginia,US,2020-04-12 23:18:15,38.4912,-80.9545,593,6,83.0,587,54.0,44.82244115,16257.0,81.0,1.0118043840000002,84000054,USA,1228.8000439999998,13.65935919
53,Wisconsin,US,2020-04-12 23:18:15,44.2685,-89.6165,3341,144,,3197,55.0,64.56573888,39257.0,974.0,4.3100868,84000055,USA,758.6522632,29.15294822
54,Wyoming,US,2020-04-12 23:18:15,42.756,-107.3025,270,0,137.0,270,56.0,54.29973453,5459.0,40.0,0.0,84000056,USA,1097.860188,14.81481481
55,American Samoa,US,,-14.270999999999999,-170.1322,0,0,,0,60.0,0.0,3.0,,,16,ASM,5.391707554,
56,Northern Mariana Islands,US,2020-04-12 23:18:15,15.0979,145.6739,11,2,,9,69.0,19.947773100000003,38.0,,18.18181818,580,MNP,68.9104889,
57,Recovered,US,,,,0,0,32988.0,-32988,,,,,,84070001,USA,,
58,Virgin Islands,US,,18.3358,-64.8963,51,1,43.0,50,,47.54446806,350.0,3.0,1.960784314,850,VIR,326.2855651,5.882352941000001
