,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-13 23:07:54,32.3182,-86.9023,3734,99,,3635.0,1.0,79.63493333293523,29182.0,457.0,2.6513122656668453,84000001,USA,622.3638523089759,12.23888591322978
1,Alaska,US,2020-04-13 23:07:54,61.3707,-152.4044,277,8,85.0,269.0,2.0,46.34052085407085,7830.0,32.0,2.888086642599278,84000002,USA,1309.9143620482844,11.552346570397113
2,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-13 23:07:54,33.7298,-111.4312,3705,122,,3583.0,4.0,50.90182789082197,43347.0,525.0,3.292847503373819,84000004,USA,595.5307782951309,14.170040485829961
4,Arkansas,US,2020-04-13 23:07:54,34.9697,-92.3731,1410,29,391.0,1381.0,5.0,54.46061396810462,20804.0,130.0,2.0567375886524824,84000005,USA,803.5451155974812,9.21985815602837
5,California,US,2020-04-13 23:07:54,36.1162,-119.6816,23931,714,,23217.0,6.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,84000006,USA,486.83682312715933,12.59872132380594
6,Colorado,US,2020-04-13 23:07:54,39.0598,-105.3111,7691,306,,7385.0,8.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,84000008,USA,662.3476017295789,19.139253673124433
7,Connecticut,US,2020-04-13 23:07:54,41.5978,-72.7554,13381,602,,12779.0,9.0,375.31340394195473,44309.0,1760.0,4.498916373963082,84000009,USA,1242.7891499337925,13.152978103280773
8,Delaware,US,2020-04-13 23:07:54,39.3185,-75.5071,1758,41,213.0,1717.0,10.0,180.53655711240089,11820.0,201.0,2.3321956769055747,84000010,USA,1213.8464761482248,11.433447098976107
9,Diamond Princess,US,2020-04-13 23:07:54,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-13 23:07:54,38.8974,-77.0268,1955,52,507.0,1903.0,11.0,277.0106652648463,10934.0,295.0,2.659846547314578,84000011,USA,1549.2760173942859,15.089514066496164
11,Florida,US,2020-04-14 00:42:00,27.7663,-81.6868,21019,499,,122520.0,12.0,579.3871934514303,196207.0,2833.0,0.405628398865216,84000012,USA,924.083459185368,2.302896300571456
12,Georgia,US,2020-04-13 23:07:54,33.0406,-83.6431,13315,465,,12850.0,13.0,131.31949811985785,57021.0,2589.0,3.492301915133308,84000013,USA,562.3709427181686,19.44423582425836
13,Grand Princess,US,2020-04-13 23:07:54,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-13 23:07:54,13.4443,144.7937,133,5,58.0,128.0,66.0,80.9844789897034,905.0,12.0,3.7593984962406015,316,GUM,551.0598006442224,9.022556390977444
15,Hawaii,US,2020-04-13 23:07:54,21.0943,-157.4983,504,9,310.0,495.0,15.0,35.59860035344325,18844.0,44.0,1.7857142857142858,84000015,USA,1330.9921132148504,8.730158730158731
16,Idaho,US,2020-04-13 23:07:54,44.2405,-114.4788,1426,27,,1399.0,16.0,88.54409539415472,14881.0,132.0,1.893408134642356,84000016,USA,924.0004793551308,9.256661991584851
17,Illinois,US,2020-04-13 23:07:54,40.3495,-88.9861,22025,798,,21227.0,17.0,187.6759648568341,105768.0,3680.0,3.623155505107832,84000017,USA,901.2536413610727,16.708286038592508
18,Indiana,US,2020-04-13 23:07:54,39.8494,-86.2583,8359,350,,8009.0,18.0,127.7354471902022,44539.0,,4.187103720540734,84000018,USA,680.6088147391332,
19,Iowa,US,2020-04-13 23:07:54,42.0115,-93.2105,1710,41,741.0,1669.0,19.0,65.249418765046,18696.0,142.0,2.3976608187134505,84000019,USA,713.3936451645029,8.304093567251464
