,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-22 23:40:26,32.3182,-86.9023,5593,196,,5397.0,1.0,119.28178418079986,48760.0,730.0,3.504380475594493,84000001,USA,1039.9034143850888,13.052029322367243
1,Alaska,US,2020-04-22 23:40:26,61.3707,-152.4044,335,9,196.0,326.0,2.0,56.043590202576674,12159.0,39.0,2.6865671641791047,84000002,USA,2034.1313829048647,11.64179104477612
2,American Samoa,US,2020-04-22 23:40:26,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-22 23:40:26,33.7298,-111.4312,5473,231,1265.0,5242.0,4.0,75.19182295451245,56601.0,664.0,4.220719897679517,84000004,USA,777.6233091628649,12.132285766490044
4,Arkansas,US,2020-04-22 23:40:26,34.9697,-92.3731,2276,42,863.0,2234.0,5.0,87.90947332723837,29713.0,291.0,1.845342706502636,84000005,USA,1147.6512218682926,12.785588752196837
5,California,US,2020-04-22 23:40:26,36.1162,-119.6816,37344,1421,,35923.0,6.0,95.24436208160348,465327.0,4984.0,3.805162810625536,84000006,USA,1186.7976990773966,13.346186803770351
6,Colorado,US,2020-04-22 23:40:26,39.0598,-105.3111,10891,506,,10385.0,8.0,192.18915464477124,48704.0,2003.0,4.646038013038289,84000008,USA,859.4601586464914,18.39133229271876
7,Connecticut,US,2020-04-22 23:40:26,41.5978,-72.7554,22469,1544,,20925.0,9.0,630.2157442023603,69918.0,1972.0,6.871689883839957,84000009,USA,1961.0763453264767,8.776536561484713
8,Delaware,US,2020-04-22 23:40:26,39.3185,-75.5071,3200,89,599.0,3111.0,10.0,328.6217194309915,16553.0,269.0,2.78125,84000010,USA,1699.8985380441254,8.40625
9,Diamond Princess,US,2020-04-22 23:40:26,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-22 23:40:26,38.8974,-77.0268,3206,127,645.0,3079.0,11.0,454.26915234736435,15502.0,402.0,3.961322520274485,84000011,USA,2196.531628100075,12.538989394884592
11,Florida,US,2020-04-22 23:40:26,27.7663,-81.6868,28309,893,,27416.0,12.0,133.32795795297102,288627.0,4469.0,3.1544738422409835,84000012,USA,1359.3573958844242,15.786498993253028
12,Georgia,US,2020-04-22 23:40:26,33.0406,-83.6431,21214,848,,20366.0,13.0,209.22356989220157,94072.0,3959.0,3.997360233807863,84000013,USA,927.787294564872,18.66220420477044
13,Grand Princess,US,2020-04-22 23:40:26,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-22 23:40:26,13.4443,144.7937,136,5,119.0,131.0,66.0,82.81119656089972,1220.0,3.0,3.6764705882352944,316,GUM,742.8651456198359,2.2058823529411766
15,Hawaii,US,2020-04-22 23:40:26,21.0943,-157.4983,592,12,437.0,580.0,15.0,41.81422898658413,25342.0,56.0,2.0270270270270268,84000015,USA,1789.959782057458,9.459459459459461
16,Idaho,US,2020-04-22 23:40:26,44.2405,-114.4788,1766,51,710.0,1715.0,16.0,109.65559078967549,17730.0,158.0,2.8878822197055487,84000016,USA,1100.9023922428914,8.946772366930917
17,Illinois,US,2020-04-22 23:40:26,40.3495,-88.9861,35107,1565,,33542.0,17.0,299.1482450955222,164346.0,4665.0,4.457800438658957,84000017,USA,1400.3992790175373,13.287948272424304
18,Indiana,US,2020-04-22 23:40:26,39.8494,-86.2583,12438,666,,11772.0,18.0,190.06741143100066,69470.0,,5.354558610709117,84000018,USA,1061.5841029194098,
19,Iowa,US,2020-04-22 23:40:26,42.0115,-93.2105,3748,90,1428.0,3658.0,19.0,143.01451551543414,28244.0,272.0,2.4012806830309503,84000019,USA,1077.7219787134268,7.257203842049093
20,Kansas,US,2020-04-22 23:40:26,38.5266,-96.7265,2331,112,,2219.0,20.0,95.5920225976097,20203.0,432.0,4.804804804804805,84000020,USA,828.5052048646538,18.53281853281853
21,Kentucky,US,2020-04-22 23:40:26,37.6681,-84.6701,3378,185,1266.0,3193.0,21.0,98.6766289749987,33328.0,1076.0,5.476613380698638,84000021,USA,973.5626674004608,31.85316755476613
22,Louisiana,US,2020-04-22 23:40:26,31.1695,-91.8678,25258,1473,,23785.0,22.0,549.4134992406356,142834.0,1747.0,5.8318156623644,84000022,USA,3106.933555726381,6.916620476680657
