,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-19 23:41:01,32.3182,-86.9023,4888,157,,4731.0,1.0,104.24626516641335,45712.0,641.0,3.211947626841244,84000001,USA,974.8987874973583,13.113747954173489
1,Alaska,US,2020-04-19 23:41:01,61.3707,-152.4044,319,9,153.0,310.0,2.0,53.36688141678196,9895.0,37.0,2.8213166144200628,84000002,USA,1655.3770897149136,11.598746081504702
2,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-19 23:41:01,33.7298,-111.4312,4933,184,994.0,4749.0,4.0,67.77293305949387,52990.0,631.0,3.729981755524022,84000004,USA,728.0129176611757,12.791404824650314
4,Arkansas,US,2020-04-19 23:41:01,34.9697,-92.3731,1781,39,721.0,1742.0,5.0,68.79032161503143,24209.0,291.0,2.18978102189781,84000005,USA,935.0617046481168,16.339135317237506
5,California,US,2020-04-19 23:41:01,36.1162,-119.6816,31431,1177,,30254.0,6.0,80.1634946601028,280900.0,4731.0,3.744710635996309,84000006,USA,716.4240924572199,15.05201870764532
6,Colorado,US,2020-04-19 23:41:01,39.0598,-105.3111,9730,420,,9310.0,8.0,171.70144841553798,44606.0,1797.0,4.316546762589929,84000008,USA,787.1443790363296,18.468653648509765
7,Connecticut,US,2020-04-19 23:41:01,41.5978,-72.7554,17962,1127,,16835.0,9.0,503.8023586880944,58213.0,1938.0,6.274356975837881,84000009,USA,1632.77177966318,10.789444382585456
8,Delaware,US,2020-04-19 23:41:01,39.3185,-75.5071,2538,67,466.0,2471.0,10.0,260.6381012237051,14794.0,249.0,2.639873916469661,84000010,USA,1519.2592866444024,9.810874704491725
9,Diamond Princess,US,2020-04-19 23:41:01,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-19 23:41:01,38.8974,-77.0268,2793,96,622.0,2697.0,11.0,395.7497637261973,13699.0,313.0,3.4371643394199785,84000011,USA,1941.0583649427767,11.206587898317222
11,Florida,US,2020-04-19 23:41:01,27.7663,-81.6868,26314,774,,25540.0,12.0,123.9320317063294,256079.0,3930.0,2.9414000152010336,84000012,USA,1206.0648608088898,14.935015581059512
12,Georgia,US,2020-04-19 23:41:01,33.0406,-83.6431,18301,687,,17614.0,13.0,180.4940394360885,79933.0,3464.0,3.7538932298781487,84000013,USA,788.3410772222755,18.927927435659253
13,Grand Princess,US,2020-04-19 23:41:01,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-19 23:41:01,13.4443,144.7937,136,5,112.0,131.0,66.0,82.81119656089972,1079.0,6.0,3.6764705882352944,316,GUM,657.0094197736088,4.411764705882354
15,Hawaii,US,2020-04-19 23:41:01,21.0943,-157.4983,580,10,410.0,570.0,15.0,40.9666432638831,23470.0,51.0,1.7241379310344829,84000015,USA,1657.736409316097,8.793103448275861
16,Idaho,US,2020-04-19 23:41:01,44.2405,-114.4788,1668,44,520.0,1624.0,16.0,103.57051270508421,16869.0,151.0,2.6378896882494005,84000016,USA,1047.440634785411,9.052757793764988
17,Illinois,US,2020-04-19 23:41:01,40.3495,-88.9861,30357,1290,,29067.0,17.0,258.6732924022208,143318.0,4314.0,4.249431762031821,84000017,USA,1221.2187937049605,14.210890404190135
18,Indiana,US,2020-04-19 23:41:01,39.8494,-86.2583,11211,562,,10649.0,18.0,171.31739423966462,61142.0,,5.012933725805013,84000018,USA,934.3223725449626,
19,Iowa,US,2020-04-19 23:41:01,42.0115,-93.2105,2902,75,1171.0,2827.0,19.0,110.7332241264114,24550.0,198.0,2.584424534803584,84000019,USA,936.7679711589936,6.8228807718814615
20,Kansas,US,2020-04-19 23:41:01,38.5266,-96.7265,1905,93,,1812.0,20.0,78.12218062996416,18130.0,390.0,4.881889763779528,84000020,USA,743.4935090925197,20.47244094488189
21,Kentucky,US,2020-04-19 23:41:01,37.6681,-84.6701,2960,146,1174.0,2814.0,21.0,86.46619945707405,32225.0,1059.0,4.9324324324324325,84000021,USA,941.3423234811527,35.777027027027025
22,Louisiana,US,2020-04-19 23:41:01,31.1695,-91.8678,23928,1296,,22632.0,22.0,520.4832611382503,141504.0,1748.0,5.4162487462387165,84000022,USA,3078.003317623997,7.305249080575058
23,Maine,US,2020-04-19 23:41:01,44.6939,-69.3819,867,34,393.0,833.0,23.0,73.84970775277128,14943.0,136.0,3.92156862745098,84000023,USA,1272.8214336212932,15.68627450980392
24,Maryland,US,2020-04-19 23:41:01,39.0639,-76.8021,12847,461,914.0,12386.0,24.0,216.1580997874089,67891.0,2886.0,3.5883863937105938,84000024,USA,1142.3047834254671,22.464388573207756
25,Massachusetts,US,2020-04-19 23:41:01,42.2302,-71.5301,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
26,Michigan,US,2020-04-19 23:41:01,43.3266,-84.5361,31424,2391,3237.0,29033.0,26.0,394.41418937177775,109661.0,3403.0,7.608834012219959,84000026,USA,1376.3955709234506,10.829302443991851
27,Minnesota,US,2020-04-19 23:41:01,45.6945,-93.9002,2356,134,1160.0,2222.0,27.0,47.630157086522324,45716.0,574.0,5.687606112054329,84000027,USA,924.219126217086,24.363327674023772
28,Mississippi,US,2020-04-19 23:41:01,32.7416,-89.6787,4274,159,,4115.0,28.0,147.62334700881388,39065.0,808.0,3.720168460458587,84000028,USA,1349.299497168768,18.905007019185774
29,Missouri,US,2020-04-19 23:41:01,38.4561,-92.2884,5743,199,,5544.0,29.0,98.01251174170434,53909.0,875.0,3.465087933135992,84000029,USA,920.0342147803482,15.235939404492425
30,Montana,US,2020-04-19 23:41:01,46.9219,-110.4544,433,10,243.0,423.0,30.0,50.0007505886347,10898.0,55.0,2.3094688221709005,84000030,USA,1258.448452459448,12.702078521939955
31,Nebraska,US,2020-04-19 23:41:01,41.1254,-98.2681,1474,28,,1446.0,31.0,96.63850119847477,14575.0,,1.899592944369064,84000031,USA,955.5672693132767,
32,Nevada,US,2020-04-19 23:41:01,38.3135,-117.0554,3728,158,,3570.0,32.0,123.57886788099701,31598.0,,4.238197424892704,84000032,USA,1047.4369815728924,
33,New Hampshire,US,2020-04-19 23:41:01,43.4525,-71.5639,1390,38,513.0,1352.0,33.0,104.65701111623102,13424.0,192.0,2.733812949640288,84000033,USA,1010.7307318160324,13.81294964028777
34,New Jersey,US,2020-04-19 23:41:01,40.2989,-74.521,85301,4362,,80939.0,34.0,960.3600013059844,170688.0,7494.0,5.113656346349983,84000034,USA,1921.6882322940626,8.785360077841995
35,New Mexico,US,2020-04-19 23:41:01,34.8405,-106.2485,1845,55,465.0,1790.0,35.0,110.64248803471956,36632.0,258.0,2.9810298102981028,84000035,USA,2196.77811473596,13.983739837398375
36,New York,US,2020-04-19 23:41:01,42.1657,-74.9481,247815,18298,23887.0,229517.0,36.0,1469.750504491868,617555.0,55723.0,7.383733833706597,84000036,USA,3662.6183758104858,22.48572523858524
37,North Carolina,US,2020-04-19 23:41:01,35.6301,-79.8064,6601,200,,6401.0,37.0,66.55659604501972,78772.0,465.0,3.0298439630359035,84000037,USA,794.2427183242378,7.044387214058477
38,North Dakota,US,2020-04-19 23:41:01,47.5289,-99.784,585,9,189.0,576.0,38.0,96.46811275390905,13630.0,51.0,1.5384615384615383,84000038,USA,2247.624575787658,8.717948717948719
39,Northern Mariana Islands,US,2020-04-19 23:41:01,15.0979,145.6739,14,2,9.0,12.0,69.0,25.388074858552155,56.0,,14.285714285714285,580,MNP,101.55229943420862,
40,Ohio,US,2020-04-19 23:41:01,40.3888,-82.7649,11602,471,,11131.0,39.0,103.83162130185987,86989.0,2565.0,4.059644888812274,84000039,USA,778.5044738344673,22.108257197034998
41,Oklahoma,US,2020-04-19 23:41:01,35.5653,-96.9289,2567,140,1575.0,2427.0,40.0,70.18198102926647,35565.0,541.0,5.453837164004675,84000040,USA,972.3498851990113,21.07518504090378
42,Oregon,US,2020-04-19 23:41:01,44.572,-122.0709,1910,74,,1836.0,41.0,47.665703203883936,39038.0,456.0,3.87434554973822,84000041,USA,974.2270794100633,23.874345549738216
43,Pennsylvania,US,2020-04-19 23:41:01,40.5908,-77.2098,32902,1276,,31626.0,42.0,261.38635822514993,158854.0,2634.0,3.8781836970396935,84000042,USA,1261.9983146768575,8.005592365205763
