,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-25 06:32:46,32.3182,-86.9023,6026,209,,5817.0,1.0,128.51636536268552,52889.0,769.0,3.4683040159309657,84000001,USA,1127.9625037615456,12.761367407899106
1,Alaska,US,2020-04-25 06:32:46,61.3707,-152.4044,339,9,208.0,330.0,2.0,56.71276739902535,12281.0,36.0,2.6548672566371683,84000002,USA,2054.5412873965493,10.619469026548671
2,American Samoa,US,2020-04-25 06:32:46,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-25 06:32:46,33.7298,-111.4312,6045,266,1313.0,5779.0,4.0,83.05035076923583,60714.0,984.0,4.400330851943755,84000004,USA,834.1305205299229,16.277915632754343
4,Arkansas,US,2020-04-25 06:32:46,34.9697,-92.3731,2810,47,929.0,2763.0,5.0,108.53498244707373,35578.0,291.0,1.6725978647686832,84000005,USA,1374.1842012462594,10.355871886120996
5,California,US,2020-04-25 06:32:46,36.1162,-119.6816,41355,1621,,39734.0,6.0,105.47425540608162,494173.0,4880.0,3.9197195018740176,84000006,USA,1260.3682557560044,11.800265989602226
6,Colorado,US,2020-04-25 06:32:46,39.0598,-105.3111,12256,674,,11582.0,8.0,216.27676791169918,56789.0,2366.0,5.499347258485639,84000008,USA,1002.132944919834,19.304830287206265
7,Connecticut,US,2020-04-25 06:32:46,41.5978,-72.7554,23936,1767,,22169.0,9.0,671.3625018126171,74038.0,1877.0,7.382185828877004,84000009,USA,2076.6350647227,7.841744652406418
8,Delaware,US,2020-04-25 06:32:46,39.3185,-75.5071,3442,100,703.0,3342.0,10.0,353.4737369629603,17379.0,277.0,2.905287623474724,84000010,USA,1784.7240193722503,8.047646717024985
9,Diamond Princess,US,2020-04-25 06:32:46,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-25 06:32:46,38.8974,-77.0268,3528,153,651.0,3375.0,11.0,499.894438390986,16533.0,402.0,4.336734693877552,84000011,USA,2342.617559500616,11.39455782312925
11,Florida,US,2020-04-25 06:32:46,27.7663,-81.6868,30533,1046,,29487.0,12.0,143.8024140795529,319038.0,5009.0,3.4258015917204334,84000012,USA,1502.5852219930046,16.40520093014116
12,Georgia,US,2020-04-25 06:32:46,33.0406,-83.6431,22491,899,,21592.0,13.0,221.81801218278056,107520.0,4322.0,3.9971544173224847,84000013,USA,1060.418508287429,19.216575519096526
13,Grand Princess,US,2020-04-25 06:32:46,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
14,Guam,US,2020-04-25 06:32:46,13.4443,144.7937,141,5,126.0,136.0,66.0,85.85572584622692,1374.0,2.0,3.5460992907801416,316,GUM,836.6366476079132,1.4184397163120568
15,Hawaii,US,2020-04-25 06:32:46,21.0943,-157.4983,601,13,463.0,588.0,15.0,42.4499182786099,28040.0,67.0,2.1630615640599,84000015,USA,1980.5253053780727,11.148086522462563
16,Idaho,US,2020-04-25 06:32:46,44.2405,-114.4788,1870,54,867.0,1816.0,16.0,116.11322467536421,19361.0,168.0,2.8877005347593583,84000016,USA,1202.1754775078748,8.983957219251339
17,Illinois,US,2020-04-25 06:32:46,40.3495,-88.9861,39658,1795,,37863.0,17.0,337.927510297041,189632.0,4828.0,4.526199001462504,84000017,USA,1615.8623640286567,12.174088456301375
18,Indiana,US,2020-04-25 06:32:46,39.8494,-86.2583,13681,741,,12940.0,18.0,209.0619276240168,75553.0,,5.41627074044295,84000018,USA,1154.53956712063,
19,Iowa,US,2020-04-25 06:32:46,42.0115,-93.2105,4445,107,1604.0,4338.0,19.0,169.61033123428626,31973.0,278.0,2.4071991001124857,84000019,USA,1220.011500687027,6.25421822272216
20,Kansas,US,2020-04-25 06:32:46,38.5266,-96.7265,2959,118,,2841.0,20.0,121.34568634334065,23588.0,457.0,3.98783372761068,84000020,USA,967.3207331756402,15.44440689422102
